sample	group
SRR6700254	adenoma
SRR6700257	adenoma
SRR6700260	adenoma
SRR6700263	adenoma
SRR6700270	adenoma
SRR6700271	adenoma
SRR6700272	adenoma
SRR6700274	adenoma
SRR6700277	adenoma
SRR6700283	adenoma
SRR6700285	adenoma
SRR6700287	adenoma
SRR6700289	adenoma
SRR6700334	adenoma
SRR6700336	adenoma
SRR6700344	adenoma
SRR6700349	adenoma
SRR6700351	adenoma
SRR6700358	adenoma
SRR6700367	adenoma
SRR6700371	adenoma
SRR6700377	adenoma
SRR6700378	adenoma
SRR6700381	adenoma
SRR6700382	adenoma
SRR6700383	adenoma
SRR6700483	adenoma
SRR6700485	adenoma
SRR6700486	adenoma
SRR6700487	adenoma
SRR6700489	adenoma
SRR6700490	adenoma
SRR6700491	adenoma
SRR6700494	adenoma
SRR6700497	adenoma
SRR6700502	adenoma
SRR6700503	adenoma
SRR6700507	adenoma
SRR6700509	adenoma
SRR6700511	adenoma
SRR6700513	adenoma
SRR6700516	adenoma
SRR6700520	adenoma
SRR6700559	adenoma
SRR6700561	adenoma
SRR6700563	adenoma
SRR6700565	adenoma
SRR6700567	adenoma
SRR6700570	adenoma
SRR6700571	adenoma
SRR6700574	adenoma
SRR6700831	adenoma
SRR6700832	adenoma
SRR6700836	adenoma
SRR6700962	adenoma
SRR6700967	adenoma
SRR6701059	adenoma
SRR6700255	adenoma
SRR6700256	adenoma
SRR6700258	adenoma
SRR6700264	adenoma
SRR6700273	adenoma
SRR6700275	adenoma
SRR6700276	adenoma
SRR6700278	adenoma
SRR6700281	adenoma
SRR6700282	adenoma
SRR6700284	adenoma
SRR6700286	adenoma
SRR6700332	adenoma
SRR6700338	adenoma
SRR6700340	adenoma
SRR6700357	adenoma
SRR6700368	adenoma
SRR6700370	adenoma
SRR6700374	adenoma
SRR6700380	adenoma
SRR6700481	adenoma
SRR6700482	adenoma
SRR6700484	adenoma
SRR6700488	adenoma
SRR6700492	adenoma
SRR6700493	adenoma
SRR6700495	adenoma
SRR6700496	adenoma
SRR6700498	adenoma
SRR6700499	adenoma
SRR6700500	adenoma
SRR6700501	adenoma
SRR6700510	adenoma
SRR6700512	adenoma
SRR6700514	adenoma
SRR6700515	adenoma
SRR6700517	adenoma
SRR6700519	adenoma
SRR6700560	adenoma
SRR6700562	adenoma
SRR6700564	adenoma
SRR6700566	adenoma
SRR6700568	adenoma
SRR6700569	adenoma
SRR6700572	adenoma
SRR6700573	adenoma
SRR6700575	adenoma
SRR6700730	adenoma
SRR6700830	adenoma
SRR6700835	adenoma
SRR6700837	adenoma
SRR6700957	adenoma
SRR6700959	adenoma
SRR6701058	adenoma
SRR6701060	adenoma
SRR6700252	NC
SRR6700253	NC
SRR6700265	NC
SRR6700268	NC
SRR6700279	NC
SRR6700280	NC
SRR6700291	NC
SRR6700293	NC
SRR6700295	NC
SRR6700331	NC
SRR6700341	NC
SRR6700348	NC
SRR6700354	NC
SRR6700355	NC
SRR6700365	NC
SRR6700373	NC
SRR6700375	NC
SRR6700504	NC
SRR6700518	NC
SRR6700578	NC
SRR6700582	NC
SRR6700584	NC
SRR6700703	NC
SRR6700711	NC
SRR6700712	NC
SRR6700714	NC
SRR6700715	NC
SRR6700717	NC
SRR6700718	NC
SRR6700719	NC
SRR6700720	NC
SRR6700721	NC
SRR6700723	NC
SRR6700726	NC
SRR6700728	NC
SRR6700733	NC
SRR6700740	NC
SRR6700743	NC
SRR6700745	NC
SRR6700747	NC
SRR6700750	NC
SRR6700752	NC
SRR6700754	NC
SRR6700755	NC
SRR6700757	NC
SRR6700833	NC
SRR6700838	NC
SRR6700960	NC
SRR6700961	NC
SRR6700963	NC
SRR6701062	NC
SRR6701064	NC
SRR6700259	NC
SRR6700261	NC
SRR6700262	NC
SRR6700266	NC
SRR6700267	NC
SRR6700269	NC
SRR6700288	NC
SRR6700290	NC
SRR6700292	NC
SRR6700294	NC
SRR6700296	NC
SRR6700297	NC
SRR6700298	NC
SRR6700299	NC
SRR6700300	NC
SRR6700326	NC
SRR6700330	NC
SRR6700333	NC
SRR6700335	NC
SRR6700337	NC
SRR6700339	NC
SRR6700345	NC
SRR6700350	NC
SRR6700352	NC
SRR6700356	NC
SRR6700359	NC
SRR6700360	NC
SRR6700369	NC
SRR6700372	NC
SRR6700376	NC
SRR6700379	NC
SRR6700505	NC
SRR6700506	NC
SRR6700508	NC
SRR6700576	NC
SRR6700577	NC
SRR6700579	NC
SRR6700580	NC
SRR6700581	NC
SRR6700583	NC
SRR6700585	NC
SRR6700702	NC
SRR6700724	NC
SRR6700725	NC
SRR6700727	NC
SRR6700729	NC
SRR6700734	NC
SRR6700738	NC
SRR6700739	NC
SRR6700742	NC
SRR6700744	NC
SRR6700746	NC
SRR6700748	NC
SRR6700749	NC
SRR6700751	NC
SRR6700753	NC
SRR6700756	NC
SRR6700758	NC
SRR6700759	NC
SRR6700760	NC
SRR6700761	NC
SRR6700762	NC
SRR6700763	NC
SRR6700834	NC
SRR6700839	NC
SRR6700956	NC
SRR6700958	NC
SRR6700964	NC
SRR6700965	NC
SRR6700966	NC
SRR6701007	NC
SRR6701061	NC
SRR6701063	NC
SRR6701065	NC
