File Name	Project ID	Sample Type
TCGA-DD-A1EL-11A-11R-A154-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-DD-A1EL-01A-11R-A154-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-DD-A39V-11A-11R-A214-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-DD-A39V-01A-11R-A214-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-DD-A39W-01A-11R-A214-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-DD-A39W-11A-11R-A214-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-DD-A39X-11A-11R-A214-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-DD-A39X-01A-11R-A214-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-DD-A39Z-11A-21R-A214-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-DD-A39Z-01A-11R-A214-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-DD-A3A1-11A-11R-A214-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-DD-A3A1-01A-11R-A214-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-DD-A3A2-11A-11R-A214-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-DD-A3A2-01A-11R-A214-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-DD-A3A3-11A-11R-A22J-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-DD-A3A3-01A-11R-A22J-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-DD-A3A4-11A-11R-A22J-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-DD-A3A4-01A-11R-A22J-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-DD-A3A5-11A-11R-A22J-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-DD-A3A5-01A-11R-A22J-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-DD-A3A6-11A-11R-A22J-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-DD-A3A6-01A-11R-A22J-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-DD-A3A8-11A-11R-A22J-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-DD-A3A8-01A-11R-A22J-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-EP-A12J-01A-11R-A130-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-EP-A12J-11A-11R-A130-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
