File Name	Project ID	Sample Type
TCGA-A7-A13G-01A-11R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-AC-A23H-01A-11R-A156-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-AC-A23H-11A-12R-A156-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-AC-A2FB-11A-13R-A17A-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-AC-A2FB-01A-11R-A17A-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-AC-A2FM-01A-11R-A19V-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-AC-A2FM-11B-32R-A19V-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0AU-01A-11R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0AU-11A-11R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0AY-11A-23R-A090-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0AY-01A-21R-A010-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0AZ-01A-21R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0AZ-11A-22R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0B3-01A-11R-A057-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0B3-11B-21R-A090-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0B5-11A-23R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0B5-01A-11R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0B7-11A-34R-A114-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0B7-01A-12R-A114-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0BC-11A-22R-A090-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0BC-01A-22R-A085-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0BJ-01A-11R-A057-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0BJ-11A-23R-A090-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0BQ-11A-33R-A114-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0BQ-01A-21R-A114-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0BS-01A-11R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0BS-11A-11R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0BT-11A-21R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0BT-01A-11R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0BV-11A-31R-A090-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0BV-01A-11R-A010-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0BW-11A-12R-A114-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0BW-01A-11R-A114-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0BZ-01A-31R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0BZ-11A-61R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0C0-01A-21R-A057-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0C0-11A-21R-A090-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0C3-01A-21R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0C3-11A-23R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0DD-01A-31R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0DD-11A-23R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0DG-11A-43R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0DG-01A-21R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0DK-01A-21R-A057-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0DK-11A-13R-A090-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0DL-01A-11R-A114-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0DL-11A-13R-A114-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0DO-11A-22R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0DO-01B-11R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0DP-01A-21R-A057-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0DP-11A-12R-A090-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0DQ-11A-12R-A090-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0DQ-01A-11R-A085-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0DT-11A-12R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0DT-01A-21R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0DV-11A-22R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0DV-01A-21R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0DZ-01A-11R-A010-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0DZ-11A-22R-A090-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0E1-11A-13R-A090-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0E1-01A-11R-A057-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
