File Name	Project ID	Sample Type
TCGA-G9-6496-01A-11R-1788-13_mirna_gdc_realn.bam	TCGA-PRAD	Primary Tumor
TCGA-G9-6496-11A-01R-1788-13_mirna_gdc_realn.bam	TCGA-PRAD	Solid Tissue Normal
TCGA-G9-6499-11A-02R-1964-13_mirna_gdc_realn.bam	TCGA-PRAD	Solid Tissue Normal
TCGA-G9-6499-01A-12R-1964-13_mirna_gdc_realn.bam	TCGA-PRAD	Primary Tumor
TCGA-HC-7211-01A-11R-2117-13_mirna_gdc_realn.bam	TCGA-PRAD	Primary Tumor
TCGA-HC-7211-11A-01R-2117-13_mirna_gdc_realn.bam	TCGA-PRAD	Solid Tissue Normal
TCGA-HC-7737-01A-11R-2117-13_mirna_gdc_realn.bam	TCGA-PRAD	Primary Tumor
TCGA-HC-7737-11A-02R-2117-13_mirna_gdc_realn.bam	TCGA-PRAD	Solid Tissue Normal
TCGA-HC-7738-01A-11R-2117-13_mirna_gdc_realn.bam	TCGA-PRAD	Primary Tumor
TCGA-HC-7738-11A-01R-2117-13_mirna_gdc_realn.bam	TCGA-PRAD	Solid Tissue Normal
TCGA-HC-7740-01B-04R-2303-13_mirna_gdc_realn.bam	TCGA-PRAD	Primary Tumor
TCGA-HC-7740-11A-01R-2117-13_mirna_gdc_realn.bam	TCGA-PRAD	Solid Tissue Normal
TCGA-HC-7740-01A-11R-2117-13_mirna_gdc_realn.bam	TCGA-PRAD	Primary Tumor
TCGA-HC-7742-01A-11R-2117-13_mirna_gdc_realn.bam	TCGA-PRAD	Primary Tumor
TCGA-HC-7742-11A-01R-2117-13_mirna_gdc_realn.bam	TCGA-PRAD	Solid Tissue Normal
TCGA-HC-7745-01A-11R-2117-13_mirna_gdc_realn.bam	TCGA-PRAD	Primary Tumor
TCGA-HC-7745-11A-01R-2117-13_mirna_gdc_realn.bam	TCGA-PRAD	Solid Tissue Normal
TCGA-HC-7747-11A-01R-2117-13_mirna_gdc_realn.bam	TCGA-PRAD	Solid Tissue Normal
TCGA-HC-7747-01A-11R-2117-13_mirna_gdc_realn.bam	TCGA-PRAD	Primary Tumor
TCGA-HC-7752-11A-01R-2117-13_mirna_gdc_realn.bam	TCGA-PRAD	Solid Tissue Normal
TCGA-HC-7752-01A-11R-2117-13_mirna_gdc_realn.bam	TCGA-PRAD	Primary Tumor
TCGA-HC-7819-11A-01R-2117-13_mirna_gdc_realn.bam	TCGA-PRAD	Solid Tissue Normal
TCGA-HC-7819-01A-11R-2117-13_mirna_gdc_realn.bam	TCGA-PRAD	Primary Tumor
TCGA-HC-8258-11A-01R-2262-13_mirna_gdc_realn.bam	TCGA-PRAD	Solid Tissue Normal
TCGA-HC-8258-01A-11R-2262-13_mirna_gdc_realn.bam	TCGA-PRAD	Primary Tumor
TCGA-HC-8258-01B-05R-2303-13_mirna_gdc_realn.bam	TCGA-PRAD	Primary Tumor
TCGA-HC-8259-01A-11R-2262-13_mirna_gdc_realn.bam	TCGA-PRAD	Primary Tumor
TCGA-HC-8259-11A-01R-2262-13_mirna_gdc_realn.bam	TCGA-PRAD	Solid Tissue Normal
TCGA-HC-8260-11A-01R-2262-13_mirna_gdc_realn.bam	TCGA-PRAD	Solid Tissue Normal
TCGA-HC-8260-01A-11R-2262-13_mirna_gdc_realn.bam	TCGA-PRAD	Primary Tumor
TCGA-HC-8262-01A-11R-2262-13_mirna_gdc_realn.bam	TCGA-PRAD	Primary Tumor
TCGA-HC-8262-11A-01R-2262-13_mirna_gdc_realn.bam	TCGA-PRAD	Solid Tissue Normal
TCGA-J4-A83J-11A-11R-A36B-13_mirna_gdc_realn.bam	TCGA-PRAD	Solid Tissue Normal
TCGA-J4-A83J-01A-11R-A36B-13_mirna_gdc_realn.bam	TCGA-PRAD	Primary Tumor
