File Name	Project ID	Sample Type
TCGA-HU-A4GH-11A-11R-A360-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-HU-A4GH-11A-11R-A24L-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-HU-A4GN-11A-12R-A252-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-HU-A4GN-01A-11R-A252-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-HU-A4GP-01A-11R-A252-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-HU-A4GP-11A-21R-A252-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-HU-A4GX-11A-11R-A360-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-HU-A4GX-11A-11R-A252-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-HU-A4GX-01A-12R-A252-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-HU-A4GY-01A-21R-A24L-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-HU-A4GY-11A-11R-A360-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-HU-A4GY-11A-11R-A24L-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-HU-A4HB-01A-12R-A252-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-HU-A4HB-11A-11R-A252-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-IN-7806-01A-11R-2055-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-IN-7806-11A-01R-2055-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-IN-8462-11A-01R-2343-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-IN-8462-01A-11R-2343-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-IN-8663-11A-01R-2402-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-IN-8663-01A-11R-2402-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-IN-AB1V-11A-11R-A415-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-IN-AB1V-01A-21R-A415-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-IN-AB1X-11A-21R-A39F-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-IN-AB1X-01A-11R-A39F-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-IP-7968-11A-01R-2203-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-IP-7968-01A-11R-2203-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-SW-A7EA-11A-11R-A353-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-SW-A7EA-01A-12R-A353-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
