File Name	Project ID	Sample Type
TCGA-GL-7966-11A-01R-2203-13_mirna_gdc_realn.bam	TCGA-KIRP	Solid Tissue Normal
TCGA-GL-7966-01A-11R-2203-13_mirna_gdc_realn.bam	TCGA-KIRP	Primary Tumor
TCGA-GL-A59R-01A-11R-A26Y-13_mirna_gdc_realn.bam	TCGA-KIRP	Primary Tumor
TCGA-GL-A59R-11A-11R-A26Y-13_mirna_gdc_realn.bam	TCGA-KIRP	Solid Tissue Normal
TCGA-GL-A9DE-11A-11R-A37G-13_mirna_gdc_realn.bam	TCGA-KIRP	Solid Tissue Normal
TCGA-GL-A9DE-01A-11R-A37G-13_mirna_gdc_realn.bam	TCGA-KIRP	Primary Tumor
TCGA-P4-A5E8-01A-11R-A28L-13_mirna_gdc_realn.bam	TCGA-KIRP	Primary Tumor
TCGA-P4-A5E8-11A-12R-A28L-13_mirna_gdc_realn.bam	TCGA-KIRP	Solid Tissue Normal
TCGA-P4-A5ED-11A-11R-A28L-13_mirna_gdc_realn.bam	TCGA-KIRP	Solid Tissue Normal
TCGA-P4-A5ED-01A-11R-A28L-13_mirna_gdc_realn.bam	TCGA-KIRP	Primary Tumor
TCGA-Y8-A8RY-11A-11R-A37G-13_mirna_gdc_realn.bam	TCGA-KIRP	Solid Tissue Normal
TCGA-Y8-A8RY-01A-11R-A37G-13_mirna_gdc_realn.bam	TCGA-KIRP	Primary Tumor
