File Name	Project ID	Sample Type
TCGA-56-8624-01A-11H-2402-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-56-8624-11A-01H-2402-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-56-8629-11A-01H-2402-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-56-8629-01A-11H-2402-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-58-8386-11A-01H-2295-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-58-8386-01A-11H-2295-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-58-8393-01A-11H-2325-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-58-8393-11A-01H-2325-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-77-7138-11A-01H-2044-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-77-7138-01A-41H-2044-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-77-7142-11A-01H-2044-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-77-7142-01A-11H-2044-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-77-7337-01A-21H-2044-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-77-7337-11A-01H-2044-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-77-7338-11A-01H-2044-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-77-7338-01A-11H-2044-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-77-8007-11A-01H-2186-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-77-8007-01A-11H-2186-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-77-8008-01A-21H-2186-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-77-8008-11A-01H-2186-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-77-8153-01A-11H-2402-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-77-8153-11A-01H-2402-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-85-7710-11A-01H-2124-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-85-7710-01A-11H-2124-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-90-6837-01A-11H-1948-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-90-6837-11A-01H-2124-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-90-7767-11A-01H-2124-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-90-7767-01A-11H-2124-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-92-7340-11A-01H-2044-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-92-7340-01A-21H-2044-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-92-7341-01A-31H-2044-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-92-7341-11A-01H-2044-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
